images,labels
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10111.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10112.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10112.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10113.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10113.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10114.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10114.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10115.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10115.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10116.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10116.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10117.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10117.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10118.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10118.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10119.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10119.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10120.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10120.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10121.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10121.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10122.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10122.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10123.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10123.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10125.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10125.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10126.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10126.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10127.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10127.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10128.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10128.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10129.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10129.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10130.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10130.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10131.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10131.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10132.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10132.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10133.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10133.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10134.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10134.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10135.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10135.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10136.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10136.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10137.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10137.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10138.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10138.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10139.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10139.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10140.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10140.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10141.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10141.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10142.jpg,0
